feature,importance,correlation
rolling_volatility_7,0.8400409192227694,0.8400409192227694
volatility_index,0.7401431271733576,0.7401431271733576
rolling_volatility_14,0.5721470111038544,0.5721470111038544
rolling_volatility_30,0.37106223643493486,0.37106223643493486
price_range,0.2982127006877229,0.2982127006877229
bb_width,0.10188382476759855,0.10188382476759855
bb_lower,0.030694515138216985,-0.030694515138216985
rsi,0.03055594131725387,-0.03055594131725387
ema_30,0.028320872858928686,-0.028320872858928686
sma_7,0.02830163079339113,-0.02830163079339113
ema_7,0.02828077199329569,-0.02828077199329569
sma_30,0.028072553787494788,-0.028072553787494788
ema_14,0.02807188746508264,-0.02807188746508264
sma_14,0.02788234118634537,-0.02788234118634537
bb_upper,0.026135486722998404,-0.026135486722998404
momentum,0.0117320816062799,-0.0117320816062799
volume_sma_ratio,0.01033440415381116,-0.01033440415381116
liquidity_ratio,0.009307990098450692,0.009307990098450692
rate_of_change,0.0087395499469713,-0.0087395499469713
macd_signal,0.007997301468030854,0.007997301468030854
close_to_sma30,0.00733360756663667,-0.00733360756663667
daily_return,0.006593635085353465,0.006593635085353465
log_return,0.0007741383865073181,-0.0007741383865073181
atr,0.0005149533224245235,-0.0005149533224245235
macd,0.0003005164672652266,0.0003005164672652266
